world_rank,team_rank,replica,numWaits,waitTime,numBarriers,barrierTime,numSends,sendTime,numRecvs,recvTime,numTests
0,0,0,0,0,9,0.000119686,0,0,0,0,1,
1,0,1,0,0,9,0.00193596,0,0,0,0,1,
2,1,0,0,0,9,0.00190997,0,0,0,0,1,
3,2,0,0,0,9,0.00198913,0,0,0,0,0,
4,3,0,0,0,9,0.00193167,0,0,0,0,0,
5,4,0,0,0,9,0.00193596,0,0,0,0,0,
6,5,0,0,0,9,0.00193381,0,0,0,0,0,
7,1,1,0,0,9,0.0019269,0,0,0,0,1,
8,2,1,0,0,9,0.0019269,0,0,0,0,0,
9,3,1,0,0,9,0.00193477,0,0,0,0,0,
10,4,1,0,0,9,0.00193381,0,0,0,0,0,
11,5,1,0,0,9,0.00190592,0,0,0,0,0,
